"Step","devout-sweep-13 - test_env/eps_reward","devout-sweep-13 - test_env/eps_reward__MIN","devout-sweep-13 - test_env/eps_reward__MAX","fine-sweep-7 - test_env/eps_reward","fine-sweep-7 - test_env/eps_reward__MIN","fine-sweep-7 - test_env/eps_reward__MAX","dry-sweep-3 - test_env/eps_reward","dry-sweep-3 - test_env/eps_reward__MIN","dry-sweep-3 - test_env/eps_reward__MAX"
"7530","0","0","0","0","0","0","0","0","0"
"7532","0","0","0","0","0","0","0","0","0"
"7533","0","0","0","0","0","0","0","0","0"
"7534","0","0","0","0","0","0","0","0","0"
"7535","0","0","0","0","0","0","0","0","0"
"7536","0","0","0","0","0","0","0","0","0"
"7537","0.4375","0.4375","0.4375","0","0","0","0","0","0"
"7538","0","0","0","0","0","0","0","0","0"
"7539","0","0","0","0","0","0","0","0","0"
"7540","0","0","0","0.32499999999999996","0.32499999999999996","0.32499999999999996","0","0","0"
"7541","0","0","0","0","0","0","0","0","0"
"7542","0","0","0","0","0","0","0","0","0"
"7543","0","0","0","0","0","0","0","0","0"
"7544","0","0","0","0","0","0","0","0","0"
"7545","0.65125","0.65125","0.65125","0","0","0","0","0","0"
"7546","0","0","0","0","0","0","0","0","0"
"7547","0","0","0","0","0","0","0","0","0"
"7548","0.80875","0.80875","0.80875","0","0","0","0.69625","0.69625","0.69625"
"7549","0","0","0","0","0","0","0","0","0"
"7550","0.78625","0.78625","0.78625","0","0","0","0.62875","0.62875","0.62875"
"7551","0","0","0","0","0","0","0","0","0"
"7552","0","0","0","0","0","0","0","0","0"
"7553","0","0","0","0","0","0","0","0","0"
"7554","0","0","0","0","0","0","0","0","0"
"7555","0","0","0","0","0","0","0","0","0"
"7556","0","0","0","0","0","0","0","0","0"
"7557","0.40375000000000005","0.40375000000000005","0.40375000000000005","0","0","0","0","0","0"
"7558","0","0","0","0","0","0","0","0","0"
"7559","0","0","0","0","0","0","0","0","0"
"7560","0.45999999999999996","0.45999999999999996","0.45999999999999996","0.595","0.595","0.595","0","0","0"
"7561","0","0","0","0","0","0","0","0","0"
"7562","0","0","0","0","0","0","0","0","0"
"7563","0","0","0","0","0","0","0","0","0"
"7564","0","0","0","0","0","0","0","0","0"
"7565","0","0","0","0","0","0","0","0","0"
"7566","0","0","0","0","0","0","0","0","0"
"7567","0","0","0","0","0","0","0","0","0"
"7568","0","0","0","0","0","0","0","0","0"
"7569","0","0","0","0","0","0","0","0","0"
"7570","0","0","0","0","0","0","0","0","0"
"7571","0","0","0","0","0","0","0","0","0"
"7572","0","0","0","0","0","0","0","0","0"
"7573","0","0","0","0","0","0","0","0","0"
"7574","0","0","0","0","0","0","0","0","0"
"7575","0","0","0","0","0","0","0","0","0"
"7576","0","0","0","0","0","0","0","0","0"
"7577","0","0","0","0","0","0","0","0","0"
"7578","0","0","0","0","0","0","0","0","0"
"7579","0","0","0","0","0","0","0","0","0"
"7580","0","0","0","0","0","0","0","0","0"
"7581","0","0","0","0","0","0","0","0","0"
"7582","0","0","0","0","0","0","0","0","0"
"7583","0","0","0","0","0","0","0.7525","0.7525","0.7525"
"7584","0","0","0","0","0","0","0","0","0"
"7585","0","0","0","0","0","0","0","0","0"
"7586","0","0","0","0","0","0","0","0","0"
"7587","0","0","0","0","0","0","0","0","0"
"7588","0.5275","0.5275","0.5275","0","0","0","0.7975","0.7975","0.7975"
"7589","0","0","0","0","0","0","0","0","0"
"7590","0","0","0","0","0","0","0","0","0"
"7591","0","0","0","0","0","0","0","0","0"
"7592","0","0","0","0","0","0","0","0","0"
"7593","0","0","0","0","0","0","0","0","0"
"7594","0","0","0","0","0","0","0","0","0"
"7595","0","0","0","0","0","0","0","0","0"
"7596","0","0","0","0","0","0","0","0","0"
"7597","0.13374999999999992","0.13374999999999992","0.13374999999999992","0","0","0","0.47124999999999995","0.47124999999999995","0.47124999999999995"
"7598","0","0","0","0","0","0","0","0","0"
"7599","0","0","0","0","0","0","0","0","0"
"7600","0","0","0","0","0","0","0","0","0"
"7601","0","0","0","0","0","0","0","0","0"
"7602","0","0","0","0","0","0","0","0","0"
"7603","0","0","0","0","0","0","0","0","0"
"7604","0","0","0","0","0","0","0","0","0"
"7605","0.7525","0.7525","0.7525","0.7525","0.7525","0.7525","0.44875","0.44875","0.44875"
"7606","0","0","0","0","0","0","0","0","0"
"7607","0","0","0","0","0","0","0","0","0"
"7608","0","0","0","0","0","0","0","0","0"
"7609","0","0","0","0","0","0","0","0","0"
"7610","0.7975","0.7975","0.7975","0","0","0","0.7975","0.7975","0.7975"
"7611","0","0","0","0","0","0","0","0","0"
"7612","0","0","0","0","0","0","0","0","0"
"7613","0.25750000000000006","0.25750000000000006","0.25750000000000006","0","0","0","0","0","0"
"7614","0","0","0","0","0","0","0","0","0"
"7615","0","0","0","0","0","0","0","0","0"
"7616","0","0","0","0","0","0","0","0","0"
"7617","0","0","0","0","0","0","0.65125","0.65125","0.65125"
"7618","0","0","0","0","0","0","0.21250000000000002","0.21250000000000002","0.21250000000000002"
"7619","0","0","0","0","0","0","0","0","0"
"7620","0","0","0","0","0","0","0","0","0"
"7621","0","0","0","0","0","0","0","0","0"
"7622","0","0","0","0","0","0","0","0","0"
"7623","0","0","0","0","0","0","0","0","0"
"7624","0","0","0","0","0","0","0","0","0"
"7625","0","0","0","0","0","0","0","0","0"
"7626","0","0","0","0","0","0","0","0","0"
"7627","0","0","0","0","0","0","0","0","0"
"7628","0","0","0","0","0","0","0","0","0"
"7629","0","0","0","0","0","0","0","0","0"
"7630","0","0","0","0","0","0","0","0","0"
"7631","0","0","0","0","0","0","0","0","0"
"7632","0","0","0","0","0","0","0.4375","0.4375","0.4375"
"7633","0","0","0","0","0","0","0","0","0"
"7634","0","0","0","0.62875","0.62875","0.62875","0","0","0"
"7635","0","0","0","0","0","0","0","0","0"
"7636","0.32499999999999996","0.32499999999999996","0.32499999999999996","0","0","0","0","0","0"
"7637","0","0","0","0","0","0","0","0","0"
"7638","0","0","0","0","0","0","0","0","0"
"7639","0","0","0","0","0","0","0","0","0"
"7640","0","0","0","0","0","0","0.6737500000000001","0.6737500000000001","0.6737500000000001"
"7641","0.78625","0.78625","0.78625","0.69625","0.69625","0.69625","0.74125","0.74125","0.74125"
"7642","0","0","0","0","0","0","0","0","0"
"7643","0","0","0","0","0","0","0","0","0"
"7644","0","0","0","0","0","0","0","0","0"
"7645","0.7975","0.7975","0.7975","0","0","0","0.235","0.235","0.235"
"7646","0.7975","0.7975","0.7975","0","0","0","0.7975","0.7975","0.7975"
"7647","0","0","0","0","0","0","0","0","0"
"7648","0","0","0","0","0","0","0","0","0"
"7649","0","0","0","0","0","0","0","0","0"
"7650","0","0","0","0","0","0","0","0","0"
"7651","0","0","0","0","0","0","0","0","0"
"7652","0","0","0","0","0","0","0","0","0"
"7653","0","0","0","0","0","0","0","0","0"
"7654","0","0","0","0","0","0","0","0","0"
"7655","0","0","0","0","0","0","0.78625","0.78625","0.78625"
"7656","0.56125","0.56125","0.56125","0","0","0","0","0","0"
"7657","0","0","0","0","0","0","0","0","0"
"7658","0","0","0","0","0","0","0","0","0"
"7659","0","0","0","0","0","0","0","0","0"
"7660","0","0","0","0","0","0","0","0","0"
"7661","0","0","0","0","0","0","0","0","0"
"7662","0","0","0","0","0","0","0","0","0"
"7663","0","0","0","0","0","0","0","0","0"
"7664","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82"
"7665","0","0","0","0","0","0","0","0","0"
"7666","0","0","0","0","0","0","0","0","0"
"7667","0","0","0","0","0","0","0","0","0"
"7668","0","0","0","0","0","0","0","0","0"
"7669","0","0","0","0","0","0","0","0","0"
"7670","0","0","0","0","0","0","0","0","0"
"7671","0.69625","0.69625","0.69625","0","0","0","0.69625","0.69625","0.69625"
"7672","0","0","0","0","0","0","0.73","0.73","0.73"
"7673","0","0","0","0","0","0","0","0","0"
"7674","0","0","0","0","0","0","0","0","0"
"7675","0.7525","0.7525","0.7525","0","0","0","0.7525","0.7525","0.7525"
"7676","0","0","0","0","0","0","0","0","0"
"7677","0","0","0","0","0","0","0","0","0"
"7678","0","0","0","0","0","0","0","0","0"
"7679","0","0","0","0","0","0","0","0","0"
"7680","0","0","0","0","0","0","0","0","0"
"7681","0.7637499999999999","0.7637499999999999","0.7637499999999999","0.7525","0.7525","0.7525","0.47124999999999995","0.47124999999999995","0.47124999999999995"
"7682","0","0","0","0","0","0","0","0","0"
"7683","0","0","0","0","0","0","0","0","0"
"7684","0","0","0","0.685","0.685","0.685","0","0","0"
"7685","0","0","0","0","0","0","0","0","0"
"7686","0","0","0","0","0","0","0","0","0"
"7687","0","0","0","0","0","0","0","0","0"
"7688","0","0","0","0","0","0","0","0","0"
"7689","0","0","0","0","0","0","0","0","0"
"7690","0","0","0","0","0","0","0","0","0"
"7691","0","0","0","0","0","0","0","0","0"
"7692","0","0","0","0","0","0","0","0","0"
"7693","0.11124999999999996","0.11124999999999996","0.11124999999999996","0.73","0.73","0.73","0.80875","0.80875","0.80875"
"7694","0","0","0","0","0","0","0","0","0"
"7695","0","0","0","0","0","0","0","0","0"
"7696","0.82","0.82","0.82","0","0","0","0.82","0.82","0.82"
"7697","0","0","0","0.71875","0.71875","0.71875","0","0","0"
"7698","0","0","0","0","0","0","0","0","0"
"7699","0","0","0","0","0","0","0","0","0"
"7700","0","0","0","0","0","0","0.6625","0.6625","0.6625"
"7701","0","0","0","0","0","0","0","0","0"
"7702","0","0","0","0","0","0","0","0","0"
"7703","0.80875","0.80875","0.80875","0","0","0","0.80875","0.80875","0.80875"
"7704","0","0","0","0","0","0","0.65125","0.65125","0.65125"
"7705","0","0","0","0","0","0","0","0","0"
"7706","0","0","0","0","0","0","0","0","0"
"7707","0","0","0","0","0","0","0","0","0"
"7708","0","0","0","0","0","0","0","0","0"
"7709","0","0","0","0","0","0","0","0","0"
